play,hit_concat,advancements_concat_sub,advancements_concat,AB,H,HBP,BB,1B,2B,3B,HR,R,SF,SH,
6.00E+03,,,,1,0,0,0,0,0,0,0,0,0,0,
1/BG,1,,,1,0,0,0,0,0,0,0,0,0,0,
1/BG/SH.1-2,1,2-Jan,2-Jan,0,0,0,0,0,0,0,0,0,0,1,
1/BG/SH.2-3,1,3-Feb,3-Feb,0,0,0,0,0,0,0,0,0,0,1,
1/BG/SH.3-H;2-3,1,3-H;2-3,3-H;2-3,0,0,0,0,0,0,0,0,1,0,1,
1/BL,1,,,1,0,0,0,0,0,0,0,0,0,0,
1/BL-,1,,,1,0,0,0,0,0,0,0,0,0,0,
1/BL/DP.1X1(13),1,,,1,0,0,0,0,0,0,0,0,0,0,
1/BL/DP.2X2(16),1,,,1,0,0,0,0,0,0,0,0,0,0,
1/BP,1,,,1,0,0,0,0,0,0,0,0,0,0,
1/BP-,1,,,1,0,0,0,0,0,0,0,0,0,0,
1/BP-/DP.2X2(16),1,,,1,0,0,0,0,0,0,0,0,0,0,
1/BP/DP.1X1(14),1,,,1,0,0,0,0,0,0,0,0,0,0,
1/BP/DP.3X3(15),1,,,1,0,0,0,0,0,0,0,0,0,0,
1/BP5F,1,,,1,0,0,0,0,0,0,0,0,0,0,
1/G,1,,,1,0,0,0,0,0,0,0,0,0,0,
1/G-,1,,,1,0,0,0,0,0,0,0,0,0,0,
1/G-.1-2,1,2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
1/G-.2-3,1,3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
1/G-.2-3;1-2,1,2-3;1-2,2-3;1-2,1,0,0,0,0,0,0,0,0,0,0,
1/G-.3-H,1,3-H,3-H,1,0,0,0,0,0,0,0,1,0,0,
1/G-.3-H;2-3;1-2,1,3-H;2-3;1-2,3-H;2-3;1-2,1,0,0,0,0,0,0,0,1,0,0,
1/G-.3-H(UR),1,3-H,3-H,1,0,0,0,0,0,0,0,1,0,0,
1/G.1-2,1,2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
1/G.2-3;1-2,1,2-3;1-2,2-3;1-2,1,0,0,0,0,0,0,0,0,0,0,
1/G.3-H;2-3,1,3-H;2-3,3-H;2-3,1,0,0,0,0,0,0,0,1,0,0,
1/L,1,,,1,0,0,0,0,0,0,0,0,0,0,
1/L-,1,,,1,0,0,0,0,0,0,0,0,0,0,
1/L-/DP.2X2(16),1,,,1,0,0,0,0,0,0,0,0,0,0,
1/L/DP.1X1(13),1,,,1,0,0,0,0,0,0,0,0,0,0,
1/L/DP.1X1(3),1,,,1,0,0,0,0,0,0,0,0,0,0,
1/L/DP.3X3(15),1,,,1,0,0,0,0,0,0,0,0,0,0,
1/L+,1,,,1,0,0,0,0,0,0,0,0,0,0,
1/L+/DP.1X1(13),1,,,1,0,0,0,0,0,0,0,0,0,0,
1/L+/DP.3X3(15),1,,,1,0,0,0,0,0,0,0,0,0,0,
1/P,1,,,1,0,0,0,0,0,0,0,0,0,0,
1/P-,1,,,1,0,0,0,0,0,0,0,0,0,0,
1/P/IF,1,,,1,0,0,0,0,0,0,0,0,0,0,
1/P2F,1,,,1,0,0,0,0,0,0,0,0,0,0,
1/P3F,1,,,1,0,0,0,0,0,0,0,0,0,0,
1/P3F-,1,,,1,0,0,0,0,0,0,0,0,0,0,
1/P5F,1,,,1,0,0,0,0,0,0,0,0,0,0,
12(3)/FO/BG.2-3;1-2,12(3),2-3;1-2,2-3;1-2,1,0,0,0,0,0,0,0,0,0,0,
12(3)/FO/G-.2-3;1-2,12(3),2-3;1-2,2-3;1-2,1,0,0,0,0,0,0,0,0,0,0,
12(3)/FO/G.2-3;1-2,12(3),2-3;1-2,2-3;1-2,1,0,0,0,0,0,0,0,0,0,0,
12(3)/FO/L.2-3;1-2,12(3),2-3;1-2,2-3;1-2,1,0,0,0,0,0,0,0,0,0,0,
12(3)3/GDP,12(3)3,,,1,0,0,0,0,0,0,0,0,0,0,
12(3)3/GDP.2-3;1-2,12(3)3,2-3;1-2,2-3;1-2,1,0,0,0,0,0,0,0,0,0,0,
12(3)3/GDP/BINT,12(3)3,,,1,0,0,0,0,0,0,0,0,0,0,
12(3)5(2)/GDP.1-2,12(3)5(2),2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
13/BG,13,,,1,0,0,0,0,0,0,0,0,0,0,
13/BG-,13,,,1,0,0,0,0,0,0,0,0,0,0,
13/BG-/SH.1-2,13,2-Jan,2-Jan,0,0,0,0,0,0,0,0,0,0,1,
13/BG-/SH.2-3,13,3-Feb,3-Feb,0,0,0,0,0,0,0,0,0,0,1,
13/BG-/SH.2-3;1-2,13,2-3;1-2,2-3;1-2,0,0,0,0,0,0,0,0,0,0,1,
13/BG-/SH.3-H,13,3-H,3-H,0,0,0,0,0,0,0,0,1,0,1,
13/BG-/SH.3-H(UR);1-2,13,3-H;1-2,3-H;1-2,0,0,0,0,0,0,0,0,1,0,1,
13/BG.1-2,13,2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
13/BG/BINT,13,,,1,0,0,0,0,0,0,0,0,0,0,
13/BG/RINT.2-2;1-1,13,2-2;1-1,2-2;1-1,1,0,0,0,0,0,0,0,0,0,0,
13/BG/SH.1-2,13,2-Jan,2-Jan,0,0,0,0,0,0,0,0,0,0,1,
13/BG/SH.1-H(E3/TH)(NR),13,1-H,1-H,0,0,0,0,0,0,0,0,1,0,1,
13/BG/SH.2-3,13,3-Feb,3-Feb,0,0,0,0,0,0,0,0,0,0,1,
13/BG/SH.2-3;1-2,13,2-3;1-2,2-3;1-2,0,0,0,0,0,0,0,0,0,0,1,
13/BG/SH.3-3;1-2,13,3-3;1-2,3-3;1-2,0,0,0,0,0,0,0,0,0,0,1,
13/BG/SH.3-H;1-2,13,3-H;1-2,3-H;1-2,0,0,0,0,0,0,0,0,1,0,1,
13/BG/SH.3-H;2-3,13,3-H;2-3,3-H;2-3,0,0,0,0,0,0,0,0,1,0,1,
13/BG/SH.3-H(UR);1-2,13,3-H;1-2,3-H;1-2,0,0,0,0,0,0,0,0,1,0,1,
13/DP.1X3(356),13,,,1,0,0,0,0,0,0,0,0,0,0,
13/G,13,,,1,0,0,0,0,0,0,0,0,0,0,
13/G-,13,,,1,0,0,0,0,0,0,0,0,0,0,
13/G-.1-2,13,2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
13/G-.2-3,13,3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
13/G-.2-3;1-2,13,2-3;1-2,2-3;1-2,1,0,0,0,0,0,0,0,0,0,0,
13/G-.3-H,13,3-H,3-H,1,0,0,0,0,0,0,0,1,0,0,
13/G-.3-H;2-3,13,3-H;2-3,3-H;2-3,1,0,0,0,0,0,0,0,1,0,0,
13/G-.3-H;2-3;1-2,13,3-H;2-3;1-2,3-H;2-3;1-2,1,0,0,0,0,0,0,0,1,0,0,
13/G-.3-H(TH)(NR),13,3-H,3-H,1,0,0,0,0,0,0,0,1,0,0,
13/G-.3-H(UR);2-3;1-2,13,3-H;2-3;1-2,3-H;2-3;1-2,1,0,0,0,0,0,0,0,1,0,0,
13/G-/BINT,13,,,1,0,0,0,0,0,0,0,0,0,0,
13/G-/BINT.1-1,13,1-Jan,1-Jan,1,0,0,0,0,0,0,0,0,0,0,
13/G-/DP.3XH(32);1-2,13,;1-2,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
13/G.1-2,13,2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
13/G.2-3,13,3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
13/G.2-3;1-2,13,2-3;1-2,2-3;1-2,1,0,0,0,0,0,0,0,0,0,0,
13/G.3-H,13,3-H,3-H,1,0,0,0,0,0,0,0,1,0,0,
13/G.3-H;1-2,13,3-H;1-2,3-H;1-2,1,0,0,0,0,0,0,0,1,0,0,
13/G.3-H;2-3,13,3-H;2-3,3-H;2-3,1,0,0,0,0,0,0,0,1,0,0,
13/G.3-H(UR);1-2,13,3-H;1-2,3-H;1-2,1,0,0,0,0,0,0,0,1,0,0,
13/G.3-H(UR);2-2,13,3-H;2-2,3-H;2-2,1,0,0,0,0,0,0,0,1,0,0,
13/G.3-H(UR);2-3;1-2,13,3-H;2-3;1-2,3-H;2-3;1-2,1,0,0,0,0,0,0,0,1,0,0,
13/G/BINT.1-1,13,1-Jan,1-Jan,1,0,0,0,0,0,0,0,0,0,0,
13/G/DP.1X3(35),13,,,1,0,0,0,0,0,0,0,0,0,0,
13/G/DP.2X2(34),13,,,1,0,0,0,0,0,0,0,0,0,0,
13/G+,13,,,1,0,0,0,0,0,0,0,0,0,0,
13/G+.1-2,13,2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
13/G+.2-3;1-2,13,2-3;1-2,2-3;1-2,1,0,0,0,0,0,0,0,0,0,0,
13/L,13,,,1,0,0,0,0,0,0,0,0,0,0,
13/L.1-2,13,2-Jan,2-Jan,1,0,0,0,0,0,0,0,0,0,0,
13/L.2-3;1-2,13,2-3;1-2,2-3;1-2,1,0,0,0,0,0,0,0,0,0,0,
13/L+,13,,,1,0,0,0,0,0,0,0,0,0,0,
131/G,131,,,1,0,0,0,0,0,0,0,0,0,0,
131/L,131,,,1,0,0,0,0,0,0,0,0,0,0,
131/L+,131,,,1,0,0,0,0,0,0,0,0,0,0,
136(1)/FO/L+,136(1),,,1,0,0,0,0,0,0,0,0,0,0,
14(1)/FO/G,14(1),,,1,0,0,0,0,0,0,0,0,0,0,
14(1)/FO/G-,14(1),,,1,0,0,0,0,0,0,0,0,0,0,
14(1)/FO/G-.2-3,14(1),3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
14(1)/FO/G.2-3,14(1),3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
14(1)/FO/G.3-H,14(1),3-H,3-H,1,0,0,0,0,0,0,0,1,0,0,
14(1)/FO/G+,14(1),,,1,0,0,0,0,0,0,0,0,0,0,
14(1)/FO/L,14(1),,,1,0,0,0,0,0,0,0,0,0,0,
14(1)/FO/L.2-3,14(1),3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
14(1)3/GDP,14(1)3,,,1,0,0,0,0,0,0,0,0,0,0,
14(1)3/GDP.2-3,14(1)3,3-Feb,3-Feb,1,0,0,0,0,0,0,0,0,0,0,
14(1)3/GDP.3-3,14(1)3,3-Mar,3-Mar,1,0,0,0,0,0,0,0,0,0,0,
14(1)3/GDP.3-H,14(1)3,3-H,3-H,1,0,0,0,0,0,0,0,1,0,0,
14/BG,14,,,1,0,0,0,0,0,0,0,0,0,0,
14/BG-/SH.1-2,14,2-Jan,2-Jan,0,0,0,0,0,0,0,0,0,0,1,
14/BG-/SH.2-3,14,3-Feb,3-Feb,0,0,0,0,0,0,0,0,0,0,1,
14/BG-/SH.2-3;1-2,14,2-3;1-2,2-3;1-2,0,0,0,0,0,0,0,0,0,0,1,
14/BG/SH.1-2,14,2-Jan,2-Jan,0,0,0,0,0,0,0,0,0,0,1,
14/BG/SH.2-3,14,3-Feb,3-Feb,0,0,0,0,0,0,0,0,0,0,1,
14/BG/SH.2-3;1-2,14,2-3;1-2,2-3;1-2,0,0,0,0,0,0,0,0,0,0,1,
14/BG/SH.3-3;1-2,14,3-3;1-2,3-3;1-2,0,0,0,0,0,0,0,0,0,0,1,
14/BG/SH.3-H,14,3-H,3-H,0,0,0,0,0,0,0,0,1,0,1,
14/BG/SH.3-H;1-2,14,3-H;1-2,3-H;1-2,0,0,0,0,0,0,0,0,1,0,1,
14/G.1-3,14,3-Jan,3-Jan,1,0,0,0,0,0,0,0,0,0,0,
14/L/DP.1X1(43),14,,,1,0,0,0,0,0,0,0,0,0,0,
143(B)6(1)/GDP,143(B)6(1),,,1,0,0,0,0,0,0,0,0,0,0,
143/G,143,,,1,0,0,0,0,0,0,0,0,0,0,
143/G-,143,,,1,0,0,0,0,0,0,0,0,0,0,
